,SP500,Temp,INDPRO
1965-04-30,4.4898715616246285,-0.17,30.9935
1965-05-31,4.482098188398097,-0.11,31.2354
1965-06-30,4.432244350834499,-0.08,31.4774
1965-07-31,4.445588116163626,-0.07,31.7731
1965-08-31,4.467860235023485,-0.02,31.9075
1965-09-30,4.499365127091115,-0.07,31.9881
1965-10-31,4.5263434054421205,0.01,32.3107
1965-11-30,4.517540436027117,0.0,32.4451
1965-12-31,4.526451601276686,-0.04,32.8483
1966-01-31,4.531308337389636,-0.14,33.1709
1966-02-28,4.5132741712835545,-0.03,33.3859
1966-03-31,4.49121730591206,0.0,33.8429
1966-04-30,4.511518629906636,-0.11,33.8967
1966-05-31,4.455857782801083,-0.05,34.2192
1966-06-30,4.439587745198413,0.04,34.3805
1966-07-31,4.426043520090656,0.13,34.5687
1966-08-31,4.345103280569283,-0.02,34.5955
1966-09-30,4.338074747144699,0.01,34.9181
1966-10-31,4.384523514872469,-0.14,35.16
1966-11-30,4.387635873438392,-0.03,34.9181
1966-12-31,4.386143150185721,-0.02,34.9987
1967-01-31,4.461415282342953,-0.09,35.1638
1967-02-28,4.463376180370204,-0.19,34.765
1967-03-31,4.502029427068578,0.04,34.5691
1967-04-30,4.543401159590459,-0.02,34.8951
1967-05-31,4.489534842389167,0.19,34.5907
1967-06-30,4.506895616719751,0.0,34.5863
1967-07-31,4.5512418439625355,0.02,34.5076
1967-08-31,4.53945764262271,0.03,35.1687
1967-09-30,4.571716809728872,0.01,35.1116
1967-10-31,4.542230386214217,0.12,35.3976
1967-11-30,4.543294782270004,-0.05,35.9038
1967-12-31,4.569232079182462,0.02,36.2905
1968-01-31,4.524393875960803,-0.21,36.2514
1968-02-29,4.492673154760945,-0.13,36.3813
1968-03-31,4.502029427068578,0.17,36.4949
1968-04-30,4.5807750291533695,-0.04,36.5477
1968-05-31,4.591882291661156,-0.07,36.9577
1968-06-30,4.600961341214036,-0.02,37.0934
1968-07-31,4.582310891842009,-0.09,37.0366
1968-08-31,4.593704707878813,-0.01,37.1399
1968-09-30,4.6315199613108735,-0.09,37.2806
1968-10-31,4.638701669196884,0.05,37.3546
1968-11-30,4.685551297934904,-0.1,37.8378
1968-12-31,4.6430438384161725,-0.11,37.9573
1969-01-31,4.634826070895602,-0.06,38.1869
1969-02-28,4.586293130218402,-0.06,38.4313
1969-03-31,4.62015731579634,0.08,38.7326
1969-04-30,4.6414056785701865,0.18,38.5901
1969-05-31,4.639185064575369,0.22,38.4443
1969-06-30,4.582003907956252,0.1,38.8198
1969-07-31,4.519939041625431,0.03,39.0248
1969-08-31,4.5592309540466465,0.06,39.1145
1969-09-30,4.533888983983128,0.11,39.1057
1969-10-31,4.577182149447922,0.13,39.1171
1969-11-30,4.541271460137859,0.14,38.7484
1969-12-31,4.5224405383890955,0.29,38.6444
1970-01-31,4.442886522930644,0.17,37.9288
1970-02-28,4.4942386252808095,0.21,37.9038
1970-03-31,4.4956900853692705,0.11,37.8546
1970-04-30,4.400848388914469,0.1,37.7573
1970-05-31,4.337944122103693,0.02,37.7133
1970-06-30,4.286616449869223,0.02,37.5913
1970-07-31,4.357349646961441,0.05,37.6836
1970-08-31,4.400848388914469,-0.05,37.6164
1970-09-30,4.433313679041901,0.1,37.3571
1970-10-31,4.421848128860553,0.01,36.6098
1970-11-30,4.468204330914934,0.02,36.3881
1970-12-31,4.523417684115833,-0.1,37.2237
1971-01-31,4.563097409566184,-0.04,37.5101
1971-02-28,4.572130331909891,-0.15,37.4386
1971-03-31,4.608265390895394,-0.1,37.398
1971-04-30,4.643910014304022,-0.06,37.608
1971-05-31,4.601463324056765,-0.01,37.7989
1971-06-30,4.602165676967792,-0.09,37.9574
1971-07-31,4.559963593150012,-0.03,37.8472
1971-08-31,4.5954228345332115,0.0,37.6276
1971-09-30,4.5884308619837935,0.04,38.2391
1971-10-31,4.545738602218665,-0.08,38.5253
1971-11-30,4.54318839363221,-0.1,38.6888
1971-12-31,4.625854777180924,-0.07,39.1355
1972-01-31,4.643813809580296,-0.19,40.0728
1972-02-29,4.668802046232865,-0.13,40.4789
1972-03-31,4.674696248636701,0.08,40.761
1972-04-30,4.679070993827626,0.06,41.1654
1972-05-31,4.696198484335655,0.0,41.1693
1972-06-30,4.674136390452814,0.12,41.2778
1972-07-31,4.676467067870125,0.07,41.2389
1972-08-31,4.710340683593631,0.2,41.805
1972-09-30,4.705467907303455,0.09,42.1288
1972-10-31,4.714741822417382,0.11,42.6703
1972-11-30,4.759349436835766,0.03,43.1755
1972-12-31,4.771108263531522,0.23,43.6617
1973-01-31,4.753848778359454,0.31,43.9783
1973-02-28,4.715637639014062,0.34,44.6103
1973-03-31,4.714203947012214,0.29,44.6294
1973-04-30,4.672548421318039,0.33,44.568
1973-05-31,4.653484046266642,0.28,44.8608
1973-06-30,4.64688777933996,0.27,44.9186
1973-07-31,4.684166192214589,0.15,45.085
1973-08-31,4.646791860678911,0.1,45.0221
1973-09-30,4.68610480348409,0.13,45.3801
1973-10-31,4.6848128136402885,0.1,45.7462
1973-11-30,4.563931437971494,0.04,45.9548
1973-12-31,4.5803650670691205,0.0,45.8252
1974-01-31,4.570268133978827,-0.08,45.5207
1974-02-28,4.5666372362713075,-0.26,45.3825
1974-03-31,4.54308199367467,-0.06,45.3798
1974-04-30,4.503248196262708,-0.07,45.247
1974-05-31,4.469121341524815,0.01,45.6083
1974-06-30,4.454347296253507,0.0,45.5216
1974-07-31,4.373364224095228,0.01,45.6136
1974-08-31,4.27874728521988,0.11,45.1303
1974-09-30,4.15166962884137,-0.05,45.1377
1974-10-31,4.302712827954156,-0.02,44.995
1974-11-30,4.248066578757805,-0.1,43.5148
1974-12-31,4.227709274289524,-0.1,41.9503
1975-01-31,4.3435456478556,0.05,41.3689
1975-02-28,4.401706705440709,0.1,40.4252
1975-03-31,4.423168578005057,0.16,39.9804
1975-04-30,4.469350462845557,0.09,40.0572
1975-05-31,4.512506501124672,0.15,39.9402
1975-06-30,4.555874894263214,0.08,40.1927
1975-07-31,4.485823428355525,0.02,40.6115
1975-08-31,4.464527856185625,-0.09,41.0114
1975-09-30,4.42926798099632,0.02,41.5422
1975-10-31,4.489085706967289,-0.15,41.7224
1975-11-30,4.5134933974161875,-0.19,41.7797
1975-12-31,4.501918556177617,-0.12,42.3462
1976-01-31,4.6137334166485795,-0.02,42.9082
1976-02-29,4.602265972840701,-0.08,43.3407
1976-03-31,4.632493481636982,-0.16,43.4281
1976-04-30,4.621437158451963,-0.02,43.6518
1976-05-31,4.606968567929471,-0.18,43.8315
1976-06-30,4.647079589065301,-0.07,43.8775
1976-07-31,4.638991734463602,0.0,44.1248
1976-08-31,4.6338548198480005,-0.04,44.4262
1976-09-30,4.656243456172092,0.02,44.5711
1976-10-31,4.633757642840004,-0.21,44.56
1976-11-30,4.625952725170619,-0.05,45.2454
1976-12-31,4.677118685300675,0.16,45.731
1977-01-31,4.625266887687213,0.25,45.4156
1977-02-28,4.603368564041463,0.2,46.1358
1977-03-31,4.589244035437832,0.23,46.7158
1977-04-30,4.589447225522855,0.26,47.1719
1977-05-31,4.565597410868269,0.31,47.541
1977-06-30,4.609958702719888,0.28,47.9063
1977-07-31,4.593603549616626,0.22,47.9714
1977-08-31,4.572337028892851,0.23,48.0157
1977-09-30,4.569853840860524,0.12,48.2097
1977-10-31,4.525477417078843,0.07,48.2839
1977-11-30,4.552085814895636,0.19,48.3755
1977-12-31,4.554928969551344,0.1,48.4573
1978-01-31,4.491441420659749,0.12,47.7512
1978-02-28,4.466367783107633,0.16,48.0098
1978-03-31,4.490993140925692,0.21,48.9358
1978-04-30,4.57295686362344,0.15,49.9074
1978-05-31,4.577696208987336,0.11,50.1513
